CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
7.2126,0.0,5.49,0,0.55,5.654,8.0,7.6958,7,573,20.3,71.28,10.66,22.6
7.0086,0.0,1.33,0,0.609,5.569,60.4,1.8872,4,551,17.8,164.5,7.54,23.1
7.1543,20.0,3.43,0,0.463,6.273,13.7,11.3673,3,614,18.4,312.36,14.69,23.5
0.8394,0.0,16.93,0,0.77,6.237,26.0,11.406,4,663,13.2,360.8,29.85,11.9
0.2593,12.5,6.9,0,0.508,5.668,34.2,7.1066,24,649,14.5,235.74,26.93,15.4
4.358,0.0,15.58,0,0.455,6.087,73.6,7.883,4,281,17.8,119.04,25.87,19.1
4.2299,25.0,16.14,0,0.501,7.161,20.0,4.3108,1,590,13.2,270.9,31.81,22.5
9.3729,0.0,23.01,0,0.793,5.736,18.2,1.8037,3,392,19.6,293.85,11.76,17.6
0.2379,0.0,0.63,0,0.542,5.324,6.4,9.2121,2,398,20.5,132.07,14.03,15.1
3.1397,25.0,23.11,0,0.716,6.96,87.6,2.2196,7,526,21.3,328.11,3.24,31.8
0.2113,80.0,16.91,0,0.8,6.645,70.0,2.0411,8,502,13.6,29.55,33.24,7.3
3.2671,0.0,4.81,0,0.418,5.866,5.9,4.5235,8,406,21.4,4.58,22.84,16.9
5.194,12.5,20.98,0,0.755,5.192,4.8,1.2371,6,710,13.2,49.09,12.52,22.9
1.1607,35.0,23.17,1,0.531,5.779,56.8,5.8744,7,278,17.1,62.19,4.22,23.2
3.6948,25.0,7.24,0,0.486,6.262,29.7,8.8845,4,237,20.5,348.89,27.96,14.7
0.4613,35.0,24.85,0,0.718,7.116,60.5,9.9148,6,202,13.3,168.86,28.88,20.5
0.2747,12.5,12.54,0,0.826,5.574,44.6,7.7474,1,613,12.8,109.35,25.88,10.8
0.9455,0.0,16.49,0,0.525,6.241,92.5,10.4156,5,400,12.8,170.48,9.1,30.9
2.7036,25.0,26.59,0,0.659,6.773,30.2,5.5715,6,416,17.4,156.91,34.85,14.9
1.239,0.0,10.08,0,0.522,4.633,68.6,10.4365,1,527,20.2,119.87,29.04,5.1
3.7422,0.0,22.05,0,0.652,7.024,7.3,6.6712,5,415,13.8,55.01,25.58,23.8
0.6707,20.0,8.94,0,0.685,5.472,95.7,3.5534,7,487,13.8,260.44,25.33,12.8
5.5139,25.0,21.68,0,0.679,6.532,98.1,11.4856,4,217,17.9,54.49,34.53,18.9
3.6813,0.0,16.42,0,0.686,6.473,74.4,4.1247,5,268,14.8,307.84,35.4,12.9
1.9674,20.0,6.23,0,0.446,7.059,47.6,1.3882,3,675,19.5,80.31,23.32,24.0
1.2513,0.0,11.47,0,0.72,6.686,23.6,3.7694,3,423,21.5,290.37,16.83,17.0
1.36,20.0,8.92,0,0.711,,81.6,5.1336,2,274,19.8,319.8,14.9,9.2
0.2312,80.0,2.57,0,0.714,5.751,74.2,4.9648,3,380,20.8,50.02,31.43,10.1
0.5389,0.0,1.29,0,0.416,6.397,23.8,6.8713,8,362,17.5,34.72,25.1,17.1
2.056,80.0,9.68,0,0.599,6.164,46.2,10.8144,24,330,20.4,376.9,4.5,21.6
1.166,12.5,1.0,0,0.58,6.634,47.4,4.3157,6,340,14.3,183.96,6.86,31.0
3.7926,35.0,4.89,0,0.422,6.853,83.0,6.8285,6,569,13.2,250.26,34.38,22.3
2.1255,12.5,19.72,0,0.489,6.726,69.0,4.8415,6,242,18.8,9.54,33.81,15.7
0.7138,0.0,19.26,0,0.596,6.15,65.0,10.1395,5,349,13.1,110.85,36.25,11.5
1.3833,35.0,20.07,0,0.744,5.008,65.7,2.8336,4,432,21.0,200.75,17.23,6.3
1.9247,25.0,8.9,0,0.496,5.981,28.5,2.2386,6,470,19.1,351.78,30.16,13.9
1.0315,0.0,24.09,0,0.787,6.591,38.4,6.6329,8,648,21.6,107.97,31.76,12.6
0.9657,25.0,16.24,1,0.647,5.537,6.5,8.4908,4,670,15.6,307.75,13.16,15.6
2.6367,35.0,3.84,0,0.753,6.742,79.1,9.8508,6,342,17.2,262.94,6.98,30.5
0.8908,12.5,4.31,0,0.612,6.936,44.4,7.5859,5,469,19.6,46.03,37.89,14.6
4.0011,80.0,18.87,0,0.625,6.389,44.9,9.6123,3,198,14.9,116.67,2.8,33.1
4.1726,25.0,5.08,0,0.684,4.155,26.0,5.4198,3,510,17.7,94.65,23.38,5.2
3.2522,0.0,13.94,0,0.835,5.405,22.5,1.4615,1,267,18.8,175.82,25.3,9.6
0.2191,0.0,26.78,0,0.621,7.62,59.6,2.3771,4,225,21.8,252.28,26.45,23.4
3.4022,25.0,0.61,0,0.639,5.917,24.8,1.5259,7,538,19.6,172.21,10.98,23.0
4.063,0.0,0.94,0,0.675,4.911,8.3,4.7184,7,280,13.7,97.3,27.89,5.0
3.3661,35.0,26.82,0,0.741,7.165,77.2,6.5504,24,437,17.1,276.29,9.56,25.9
0.8401,20.0,15.99,0,0.415,6.309,38.9,5.0195,1,239,18.1,232.11,31.79,13.9
0.9628,12.5,3.86,0,0.633,7.073,39.3,7.2666,7,577,14.0,206.27,9.65,31.2
0.4972,0.0,24.28,0,0.616,6.494,44.3,6.3867,8,587,16.7,220.19,26.99,18.4
1.0631,25.0,23.83,0,0.832,6.621,81.9,8.5574,4,488,15.3,88.32,30.14,15.3
0.0634,0.0,14.71,0,0.622,6.554,33.4,8.4366,3,625,13.7,270.17,8.56,31.8
0.5021,12.5,16.98,0,0.609,6.788,76.3,4.5987,4,415,17.4,153.99,10.34,30.7
3.9452,35.0,7.74,0,0.851,7.894,94.1,4.9084,7,284,14.2,144.46,29.98,20.4
11.9873,80.0,1.84,0,0.601,6.98,66.8,7.5366,8,266,18.2,59.7,4.82,31.7
1.6906,80.0,16.26,0,0.469,5.194,44.3,7.6608,6,301,14.2,237.01,8.62,20.8
0.8521,80.0,8.31,0,0.486,6.613,75.3,4.5617,5,291,19.4,239.32,18.24,23.0
1.1933,20.0,18.09,0,0.427,7.099,46.9,4.7335,6,356,14.4,135.28,35.47,20.4
1.084,0.0,22.66,0,0.38,7.142,42.6,8.7345,1,299,21.0,341.32,22.1,17.5
0.3889,35.0,0.98,0,0.592,6.001,53.5,8.2215,6,496,12.8,335.61,15.77,28.1
3.25,35.0,16.29,0,0.757,7.115,33.1,2.5856,1,264,17.5,43.57,37.21,14.6
4.1275,80.0,6.63,1,0.739,,12.2,5.9515,24,512,15.6,275.96,18.53,22.3
4.5234,25.0,23.66,1,0.396,8.101,42.7,10.9198,24,362,14.7,156.51,17.44,39.9
15.9296,0.0,7.22,0,0.659,5.775,14.1,1.4994,5,546,17.0,396.79,16.64,16.3
6.32,20.0,16.69,0,0.456,5.945,42.2,10.5068,4,455,20.5,89.56,13.03,21.9
4.9346,12.5,15.17,0,0.841,6.086,56.6,2.895,7,661,21.2,111.57,13.52,16.3
3.1305,35.0,11.0,0,0.462,5.957,93.2,6.6797,6,417,15.5,175.65,26.67,20.3
1.7776,12.5,18.46,0,0.687,5.677,,5.7677,7,341,14.0,106.89,3.18,25.7
0.1334,0.0,19.73,0,0.54,4.366,,1.2114,5,495,19.4,274.75,26.45,5.1
2.8698,0.0,15.52,0,0.694,5.996,46.9,11.1694,3,532,18.1,191.04,,25.3
1.8641,35.0,20.6,0,0.582,6.559,4.0,6.1042,1,417,14.5,87.92,15.65,26.7
4.5239,35.0,26.56,0,0.752,5.955,26.5,11.597,3,480,19.7,201.14,7.02,21.8
6.084,0.0,11.61,1,0.493,7.655,13.6,4.2542,5,433,17.5,352.8,21.76,30.5
0.9962,12.5,14.14,0,0.824,6.309,23.2,10.629,4,347,18.7,314.57,28.18,17.9
0.1493,12.5,0.83,0,0.625,7.204,28.9,11.2463,5,351,16.0,198.15,14.57,29.5
2.7745,12.5,21.59,0,0.75,6.483,41.3,7.2252,3,662,16.7,114.73,7.63,26.6
7.6603,80.0,14.29,0,0.796,6.878,53.8,3.3295,24,540,14.3,71.66,9.92,27.9
2.4632,0.0,11.31,0,0.869,6.495,2.1,8.6377,4,237,19.7,348.67,31.4,13.4
6.3928,0.0,2.99,0,0.49,7.258,17.9,7.1388,8,691,14.1,281.96,11.42,31.6
2.259,0.0,24.08,0,0.521,6.339,11.2,11.4898,4,560,19.9,227.23,29.82,14.0
3.942,0.0,10.97,0,0.503,6.647,55.9,5.932,4,213,20.1,349.09,13.72,21.9
0.8663,80.0,18.59,0,0.509,6.556,34.2,4.0537,6,568,19.6,48.58,8.55,25.4
0.4033,80.0,4.46,0,0.665,6.098,55.7,2.6212,3,495,12.8,270.98,28.1,14.6
0.4274,0.0,25.98,0,0.867,6.583,23.7,8.785,2,666,15.2,86.26,18.71,20.2
0.353,25.0,5.23,0,0.865,7.864,4.4,11.8152,4,443,17.0,48.14,2.84,39.8
0.164,0.0,5.79,0,0.638,6.111,94.3,1.4118,8,458,18.2,184.97,36.55,10.2
5.1498,0.0,23.26,0,0.693,6.594,12.6,9.2449,2,351,21.2,153.95,7.06,23.8
1.3458,0.0,24.68,0,0.801,7.18,14.4,11.2962,4,355,16.1,373.57,14.53,24.9
1.1584,0.0,6.12,0,0.837,7.098,16.4,1.9226,7,510,20.8,128.8,15.67,25.8
2.8049,12.5,12.95,0,0.48,6.308,98.2,2.3119,7,620,14.1,323.49,19.47,25.6
0.5618,80.0,19.94,0,0.639,4.632,62.5,8.7115,4,653,16.1,297.29,30.21,5.0
5.7549,20.0,23.78,0,0.788,6.662,61.8,8.2276,1,590,13.1,265.21,1.92,30.5
3.8759,25.0,10.54,0,0.529,4.746,98.7,1.8571,1,506,19.6,365.33,35.55,5.0
0.9877,12.5,14.2,0,0.596,7.329,10.7,10.2787,5,449,14.0,162.09,25.15,22.8
0.6018,0.0,20.16,0,0.863,6.419,97.5,6.8577,8,364,15.0,154.86,36.21,10.7
1.5931,0.0,19.88,0,0.863,7.0,22.0,11.0792,1,589,19.9,64.15,31.37,18.7
0.9145,0.0,21.25,0,0.824,5.669,63.1,10.7579,8,353,17.6,109.68,35.38,5.5
0.2272,0.0,15.6,0,0.771,5.213,43.2,10.0376,7,327,12.7,349.22,23.52,10.0
1.5107,35.0,3.27,0,0.512,6.483,39.6,6.7749,1,641,12.6,188.45,14.67,28.1
6.7556,35.0,24.46,1,0.537,6.276,,3.8688,4,495,17.4,135.69,17.78,20.4
3.0265,35.0,23.44,0,0.648,5.956,,6.6657,2,372,15.5,86.03,25.59,12.0
9.2472,25.0,21.65,0,0.655,6.359,99.7,2.2089,24,640,14.3,192.65,17.2,23.6
6.1393,20.0,3.15,1,0.628,,39.2,8.3473,5,691,18.4,284.54,28.26,28.4
3.3537,25.0,5.92,0,0.692,6.884,65.6,2.5737,3,353,14.7,114.02,5.03,31.0
5.5518,12.5,20.21,0,0.58,7.035,96.9,6.7229,3,460,18.2,300.82,31.83,16.6
2.1808,25.0,1.11,0,0.747,6.891,7.6,1.6982,6,440,16.2,250.08,9.11,26.1
3.2035,35.0,26.45,0,0.543,7.336,92.4,4.3946,1,554,14.4,312.65,35.97,19.0
1.1407,35.0,10.49,0,0.542,6.167,57.6,3.6529,3,685,13.9,99.83,7.35,27.2
0.6572,20.0,19.56,0,0.442,4.862,71.0,7.9203,2,474,14.8,250.57,6.39,19.8
