Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP01000,Male,Yes,1,Graduate,,8306,0,28.0,360.0,1.0,Urban,Y
LP01001,Male,No,0,Graduate,No,4367,468,9.0,360.0,1.0,Semiurban,Y
LP01002,Male,No,1,Graduate,No,3407,1495,11.0,360.0,1.0,Urban,Y
LP01003,Female,No,0,Graduate,No,8731,2041,23.0,360.0,1.0,Semiurban,Y
LP01004,Male,No,3+,Graduate,No,10437,0,32.0,360.0,1.0,Semiurban,Y
LP01005,Male,Yes,3+,Graduate,No,8870,0,13.0,360.0,1.0,Semiurban,Y
LP01006,Male,No,0,Graduate,No,2782,1671,11.0,360.0,1.0,Rural,Y
LP01007,Male,Yes,1,Graduate,No,3387,0,9.0,360.0,1.0,Semiurban,Y
LP01008,Male,Yes,0,Not Graduate,No,12059,3175,23.0,360.0,1.0,Semiurban,Y
LP01009,Female,Yes,0,Graduate,No,5078,0,14.0,360.0,0.0,Rural,N
LP01010,Male,No,2,Graduate,No,3838,417,11.0,180.0,1.0,Urban,Y
LP01011,Male,Yes,3+,Graduate,No,6602,9806,23.0,360.0,1.0,Rural,Y
LP01012,Male,Yes,0,Graduate,Yes,7739,1420,24.0,360.0,1.0,Rural,Y
LP01013,Male,Yes,1,Not Graduate,No,3248,1509,5.0,360.0,0.0,Rural,Y
LP01014,Male,No,1,Not Graduate,Yes,5018,1162,21.0,360.0,1.0,Semiurban,Y
LP01015,Male,Yes,0,Not Graduate,No,7403,0,21.0,360.0,1.0,Rural,Y
LP01016,Male,Yes,1,Graduate,No,2349,0,4.0,180.0,,Semiurban,Y
LP01017,Female,Yes,1,Graduate,No,4477,6542,17.0,360.0,1.0,Semiurban,Y
LP01018,Male,Yes,2,Graduate,No,2409,2551,8.0,360.0,0.0,Rural,Y
LP01019,Male,No,3+,Graduate,No,2589,1469,9.0,360.0,1.0,Urban,Y
LP01020,Male,No,0,Not Graduate,No,3263,3038,9.0,360.0,1.0,Rural,Y
LP01021,Female,No,0,Graduate,No,5781,0,16.0,360.0,1.0,Semiurban,Y
LP01022,Male,No,0,Graduate,Yes,3725,1353,12.0,360.0,,Urban,Y
LP01023,Female,Yes,0,Graduate,No,3113,2294,5.0,360.0,1.0,Semiurban,Y
LP01024,Male,Yes,0,Not Graduate,Yes,4575,1052,11.0,360.0,0.0,Rural,N
LP01025,Female,Yes,2,Graduate,No,2367,2105,11.0,360.0,0.0,Semiurban,N
LP01026,Male,No,0,Graduate,No,5630,2007,,360.0,1.0,Rural,Y
LP01027,Male,Yes,1,Graduate,No,8286,2990,23.0,,1.0,Semiurban,Y
LP01028,Male,No,0,Not Graduate,No,4258,0,9.0,480.0,,Rural,N
