Month,Passengers
1949-01,103
1949-02,100
1949-03,122
1949-04,110
1949-05,116
1949-06,137
1949-07,152
1949-08,145
1949-09,134
1949-10,124
1949-11,106
1949-12,116
1950-01,125
1950-02,122
1950-03,134
1950-04,135
1950-05,142
1950-06,155
1950-07,163
1950-08,174
1950-09,146
1950-10,132
1950-11,115
1950-12,142
1951-01,135
1951-02,134
1951-03,159
1951-04,154
1951-05,158
1951-06,176
1951-07,196
1951-08,189
1951-09,166
1951-10,154
1951-11,136
1951-12,156
1952-01,160
1952-02,150
1952-03,171
1952-04,160
1952-05,170
1952-06,187
1952-07,212
1952-08,217
1952-09,190
1952-10,181
1952-11,154
1952-12,181
1953-01,176
1953-02,170
1953-03,191
1953-04,183
1953-05,190
1953-06,215
1953-07,235
1953-08,231
1953-09,211
1953-10,183
1953-11,159
1953-12,181
1954-01,188
1954-02,175
1954-03,211
1954-04,211
1954-05,215
1954-06,231
1954-07,252
1954-08,255
1954-09,232
1954-10,212
1954-11,184
1954-12,212
1955-01,217
1955-02,194
1955-03,241
1955-04,224
1955-05,237
1955-06,261
1955-07,268
1955-08,274
1955-09,238
1955-10,211
1955-11,202
1955-12,235
1956-01,221
1956-02,218
1956-03,261
1956-04,246
1956-05,248
1956-06,274
1956-07,312
1956-08,312
1956-09,270
1956-10,244
1956-11,212
1956-12,227
1957-01,246
1957-02,220
1957-03,273
1957-04,268
1957-05,257
1957-06,291
1957-07,350
1957-08,325
1957-09,275
1957-10,264
1957-11,222
1957-12,241
1958-01,261
1958-02,238
1958-03,290
1958-04,273
1958-05,291
1958-06,318
1958-07,325
1958-08,352
1958-09,302
1958-10,287
1958-11,245
1958-12,279
1959-01,268
1959-02,255
1959-03,305
1959-04,295
1959-05,315
1959-06,335
1959-07,361
1959-08,361
1959-09,333
1959-10,291
1959-11,256
1959-12,299
1960-01,283
1960-02,258
1960-03,316
1960-04,319
1960-05,319
1960-06,341
1960-07,409
1960-08,394
1960-09,347
1960-10,314
1960-11,262
1960-12,309
