CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,InternetService,Contract,PaymentMethod,TechSupport,OnlineSecurity,DeviceProtection,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
CUST10001,Male,0,No,No,52,Fiber optic,Month-to-month,Electronic check,No,No,No,Yes,106.7,5977.23,No
CUST10002,Female,0,Yes,No,15,Fiber optic,Month-to-month,Bank transfer,Yes,No,No,No,60.8,870.95,Yes
CUST10003,Male,0,Yes,Yes,72,Fiber optic,Month-to-month,Credit card,No,Yes,No,No,75.17,5020.87,No
CUST10004,Female,0,Yes,No,61,Fiber optic,One year,Electronic check,No,No,Yes,Yes,45.39,2558.23,No
CUST10005,Female,0,No,No,21,DSL,Month-to-month,Electronic check,No,No,No,No,39.61,865.08,No
CUST10006,Female,0,Yes,Yes,24,Fiber optic,Two year,Electronic check,Yes,No,No,Yes,70.55,1525.94,Yes
CUST10007,Male,1,No,No,3,Fiber optic,One year,Bank transfer,No,No,No,No,79.5,237.13,No
CUST10008,Female,0,Yes,No,22,Fiber optic,Month-to-month,Mailed check,No,No,Yes,Yes,53.93,1096.02,No
CUST10009,Male,0,Yes,Yes,53,Fiber optic,Month-to-month,Electronic check,No,No,No,No,76.94,4362.99,No
CUST10010,Female,0,No,No,2,Fiber optic,Month-to-month,Mailed check,No,Yes,No,Yes,108.75,237.44,Yes
CUST10011,Female,0,Yes,No,30,DSL,Month-to-month,Electronic check,No,Yes,No,Yes,75.67,2478.38,No
CUST10012,Female,0,Yes,No,38,Fiber optic,Two year,Mailed check,No,No,Yes,Yes,92.08,3458.43,No
CUST10013,Male,1,No,Yes,2,DSL,Two year,Bank transfer,No,No,No,Yes,100.53,206.87,No
CUST10014,Male,0,Yes,Yes,64,Fiber optic,Month-to-month,Credit card,No,Yes,Yes,Yes,118.87,7759.38,No
CUST10015,Female,0,No,No,60,No,One year,Bank transfer,No,No,Yes,Yes,80.32,4674.66,No
CUST10016,Male,1,No,Yes,21,Fiber optic,One year,Bank transfer,Yes,Yes,No,No,100.69,2090.83,No
CUST10017,Female,0,Yes,No,33,Fiber optic,One year,Credit card,Yes,No,No,No,116.26,3502.28,Yes
CUST10018,Female,0,No,No,58,DSL,Month-to-month,Credit card,No,No,No,No,114.44,7030.06,No
CUST10019,Female,0,No,No,22,DSL,Month-to-month,Bank transfer,No,No,No,No,34.11,711.52,No
CUST10020,Female,0,Yes,No,49,Fiber optic,Month-to-month,Electronic check,No,No,Yes,No,60.64,2947.9,No
CUST10021,Male,0,Yes,No,59,DSL,Two year,Electronic check,No,Yes,No,Yes,52.4,3079.62,No
CUST10022,Female,0,Yes,Yes,42,Fiber optic,Month-to-month,Credit card,No,No,Yes,Yes,28.69,1219.61,No
CUST10023,Male,0,No,No,60,DSL,Month-to-month,Bank transfer,No,No,No,No,83.32,5317.03,No
CUST10024,Female,0,Yes,Yes,15,No,Two year,Bank transfer,No,No,No,No,93.59,1457.72,No
CUST10025,Female,0,No,Yes,62,Fiber optic,One year,Credit card,No,Yes,No,Yes,104.81,6710.14,No
CUST10026,Female,1,No,No,62,DSL,Two year,Mailed check,No,No,No,Yes,32.28,2012.07,No
CUST10027,Female,0,No,No,47,No,Month-to-month,Credit card,No,Yes,No,Yes,107.64,4650.26,No
CUST10028,Female,0,Yes,No,62,DSL,Month-to-month,Credit card,No,No,No,No,84.29,5123.56,Yes
CUST10029,Male,0,Yes,Yes,51,DSL,Two year,Credit card,Yes,No,Yes,Yes,90.39,5031.53,No
CUST10030,Male,0,No,No,55,Fiber optic,Month-to-month,Bank transfer,No,No,Yes,No,111.06,6713.69,No
CUST10031,Female,0,Yes,Yes,64,Fiber optic,Month-to-month,Electronic check,Yes,No,No,No,82.48,5522.07,Yes
CUST10032,Male,0,Yes,No,3,Fiber optic,Month-to-month,Credit card,No,Yes,No,No,53.59,152.01,No
CUST10033,Male,0,Yes,Yes,51,DSL,Month-to-month,Bank transfer,Yes,Yes,Yes,Yes,102.51,4811.75,No
CUST10034,Female,1,Yes,No,7,Fiber optic,Month-to-month,Mailed check,No,No,Yes,Yes,56.31,387.45,Yes
CUST10035,Female,0,No,No,21,DSL,Two year,Electronic check,No,Yes,No,Yes,23.42,526.89,No
CUST10036,Female,0,Yes,No,39,DSL,Two year,Electronic check,No,Yes,No,Yes,103.07,4198.1,No
CUST10037,Female,0,Yes,No,18,No,Two year,Mailed check,No,No,Yes,No,54.52,1056.71,No
CUST10038,Male,0,Yes,No,4,Fiber optic,Month-to-month,Credit card,No,Yes,Yes,Yes,97.38,398.54,No
CUST10039,Male,0,No,No,60,DSL,Month-to-month,Bank transfer,No,No,No,Yes,56.28,3127.14,No
CUST10040,Male,0,No,Yes,14,Fiber optic,Month-to-month,Credit card,No,Yes,No,Yes,106.11,1371.09,No
CUST10041,Male,0,Yes,Yes,9,DSL,Two year,Credit card,No,No,Yes,No,41.95,343.42,No
CUST10042,Female,0,No,No,53,No,Month-to-month,Bank transfer,No,No,Yes,Yes,117.45,6308.36,Yes
CUST10043,Female,0,No,No,2,DSL,One year,Electronic check,No,No,No,No,97.98,185.88,No
CUST10044,Female,0,No,No,60,DSL,One year,Credit card,Yes,Yes,No,Yes,31.42,1973.57,No
CUST10045,Female,0,No,Yes,71,Fiber optic,Month-to-month,Mailed check,No,No,No,Yes,76.58,5639.71,No
CUST10046,Male,0,Yes,No,44,Fiber optic,Month-to-month,Electronic check,No,No,No,Yes,118.54,5026.02,Yes
CUST10047,Male,0,Yes,No,8,Fiber optic,Two year,Mailed check,Yes,No,Yes,Yes,67.11,502.18,Yes
CUST10048,Female,0,Yes,No,47,DSL,Two year,Mailed check,No,No,No,No,38.21,1653.06,No
CUST10049,Male,0,Yes,No,35,DSL,Month-to-month,Bank transfer,No,No,No,Yes,68.48,2510.56,Yes
CUST10050,Male,0,No,No,36,Fiber optic,Month-to-month,Credit card,No,Yes,Yes,Yes,71.25,2539.58,Yes
CUST10051,Female,1,Yes,Yes,50,DSL,Two year,Bank transfer,Yes,No,No,No,94.17,4542.32,No
CUST10052,Male,0,Yes,No,4,No,Month-to-month,Electronic check,No,No,No,No,89.88,385.16,Yes
CUST10053,Female,0,No,No,2,DSL,Month-to-month,Credit card,Yes,No,Yes,No,60.26,122.78,No
CUST10054,Male,0,No,No,6,Fiber optic,Month-to-month,Mailed check,Yes,Yes,Yes,Yes,41.8,251.7,Yes
CUST10055,Male,0,Yes,Yes,54,Fiber optic,Month-to-month,Credit card,No,No,Yes,Yes,84.51,4785.67,Yes
CUST10056,Female,0,Yes,Yes,4,DSL,Month-to-month,Bank transfer,No,No,Yes,No,62.17,264.38,Yes
CUST10057,Female,0,Yes,No,54,Fiber optic,Month-to-month,Electronic check,No,Yes,No,No,33.23,1861.2,No
CUST10058,Female,0,No,No,63,No,Month-to-month,Electronic check,Yes,Yes,No,No,110.06,6850.58,No
CUST10059,Male,0,Yes,No,18,DSL,Month-to-month,Bank transfer,No,Yes,No,Yes,89.12,1565.44,Yes
CUST10060,Female,0,Yes,No,44,No,Two year,Electronic check,Yes,No,Yes,No,88.32,4097.22,No
CUST10061,Male,0,No,No,34,Fiber optic,Two year,Bank transfer,No,Yes,No,No,102.26,3489.29,No
CUST10062,Female,0,Yes,Yes,62,DSL,Two year,Bank transfer,No,No,No,Yes,72.97,4709.07,No
CUST10063,Male,0,No,No,14,Fiber optic,One year,Credit card,No,No,No,No,101.51,1532.1,Yes
CUST10064,Female,0,No,No,48,DSL,Month-to-month,Electronic check,Yes,No,Yes,No,69.81,3629.6,Yes
CUST10065,Female,0,Yes,No,15,Fiber optic,Month-to-month,Credit card,No,No,Yes,Yes,26.72,382.98,Yes
CUST10066,Male,0,No,No,72,Fiber optic,Two year,Bank transfer,No,Yes,Yes,Yes,60.52,4085.44,No
CUST10067,Male,1,No,No,62,No,Month-to-month,Electronic check,Yes,No,No,No,69.75,4118.04,Yes
CUST10068,Female,0,Yes,No,40,No,Month-to-month,Electronic check,Yes,No,No,Yes,92.02,3865.85,No
CUST10069,Male,0,No,No,53,Fiber optic,One year,Electronic check,No,Yes,No,Yes,30.66,1582.75,No
CUST10070,Female,0,No,Yes,24,Fiber optic,Month-to-month,Mailed check,No,Yes,No,Yes,34.0,762.7,Yes
CUST10071,Male,0,No,Yes,26,DSL,Month-to-month,Electronic check,No,No,No,Yes,46.37,1108.78,Yes
CUST10072,Male,0,Yes,No,60,Fiber optic,Two year,Credit card,No,No,No,No,46.65,2702.33,No
CUST10073,Female,0,No,Yes,41,DSL,Two year,Mailed check,No,No,No,Yes,93.22,3543.88,No
CUST10074,Female,0,Yes,Yes,29,Fiber optic,Month-to-month,Credit card,No,Yes,No,Yes,45.07,1217.2,No
CUST10075,Male,0,Yes,No,15,Fiber optic,Two year,Electronic check,Yes,No,Yes,No,83.31,1295.61,No
CUST10076,Male,0,Yes,No,45,DSL,One year,Mailed check,Yes,Yes,No,Yes,69.43,2824.24,No
CUST10077,Male,0,Yes,No,65,DSL,One year,Electronic check,No,No,Yes,Yes,77.33,4641.98,No
CUST10078,Male,0,No,Yes,71,Fiber optic,Month-to-month,Bank transfer,No,No,Yes,No,103.81,7878.14,No
CUST10079,Female,0,Yes,Yes,9,Fiber optic,Month-to-month,Mailed check,No,No,No,Yes,60.44,581.48,Yes
CUST10080,Female,0,Yes,Yes,1,Fiber optic,One year,Credit card,No,Yes,No,Yes,97.09,93.77,Yes
CUST10081,Male,0,No,Yes,8,Fiber optic,Two year,Bank transfer,No,No,Yes,No,62.2,456.59,No
CUST10082,Female,0,Yes,No,63,Fiber optic,One year,Electronic check,No,Yes,No,No,55.39,3632.62,No
CUST10083,Male,0,Yes,Yes,11,Fiber optic,Month-to-month,Bank transfer,Yes,No,No,No,115.86,1238.81,Yes
CUST10084,Male,0,Yes,No,8,DSL,Month-to-month,Bank transfer,No,No,No,No,38.44,279.56,No
CUST10085,Male,0,Yes,Yes,35,DSL,Two year,Electronic check,No,Yes,No,No,29.03,946.52,Yes
CUST10086,Female,1,Yes,No,35,Fiber optic,Month-to-month,Mailed check,Yes,No,No,No,97.1,3151.91,Yes
CUST10087,Male,0,No,No,33,Fiber optic,Month-to-month,Mailed check,No,No,No,No,26.82,900.83,No
CUST10088,Female,0,Yes,No,5,DSL,Month-to-month,Mailed check,No,No,No,Yes,103.71,559.84,Yes
CUST10089,Female,1,Yes,No,41,Fiber optic,Month-to-month,Bank transfer,Yes,No,No,Yes,63.72,2765.65,No
CUST10090,Male,0,No,No,28,DSL,One year,Credit card,Yes,No,Yes,No,111.55,3152.46,No
CUST10091,Female,0,No,Yes,7,Fiber optic,One year,Mailed check,No,No,No,Yes,92.15,635.01,Yes
CUST10092,Male,1,Yes,No,72,Fiber optic,Month-to-month,Mailed check,No,Yes,Yes,Yes,81.04,5973.37,Yes
CUST10093,Male,0,No,No,12,Fiber optic,Month-to-month,Bank transfer,No,No,No,Yes,114.93,1363.66,No
CUST10094,Female,0,Yes,No,34,No,Two year,Electronic check,Yes,No,Yes,Yes,59.66,1925.44,Yes
CUST10095,Male,0,No,Yes,33,DSL,Month-to-month,Electronic check,Yes,No,No,Yes,115.41,3945.03,Yes
CUST10096,Female,0,No,Yes,48,No,Month-to-month,Bank transfer,Yes,No,No,No,33.5,1728.04,Yes
CUST10097,Female,0,Yes,No,23,Fiber optic,Two year,Credit card,Yes,No,Yes,No,68.38,1532.75,No
CUST10098,Female,1,No,No,62,Fiber optic,Month-to-month,Mailed check,Yes,Yes,No,No,46.99,3112.39,No
CUST10099,Male,0,Yes,No,37,Fiber optic,Two year,Electronic check,No,Yes,Yes,No,73.98,2699.53,No
CUST10100,Female,0,No,Yes,44,Fiber optic,Month-to-month,Electronic check,No,No,No,Yes,36.2,1561.37,No
CUST10101,Male,1,Yes,No,35,Fiber optic,One year,Bank transfer,No,No,No,Yes,104.15,3301.37,No
CUST10102,Male,0,No,Yes,65,Fiber optic,Month-to-month,Bank transfer,Yes,No,Yes,Yes,104.64,7067.24,No
CUST10103,Female,0,No,Yes,47,DSL,Two year,Electronic check,Yes,No,No,No,115.52,5763.35,No
CUST10104,Female,0,No,No,3,DSL,Month-to-month,Credit card,No,Yes,Yes,Yes,35.47,109.89,Yes
CUST10105,Male,0,Yes,Yes,1,Fiber optic,Month-to-month,Bank transfer,No,No,No,Yes,82.33,76.59,Yes
