Student_ID,MBA_Percentage,Salary_Package (in LPA)
S1000,73.11,39.29
S1001,93.28,48.81
S1002,85.62,44.69
S1003,80.95,42.17
S1004,65.46,33.25
S1005,65.46,34.01
S1006,62.03,32.55
S1007,90.32,48.22
S1008,81.04,42.86
S1009,84.78,42.63
S1010,60.72,32.68
S1011,93.95,48.59
S1012,89.14,45.89
S1013,67.43,36.33
S1014,66.36,36.21
S1015,66.42,36.14
S1016,70.65,36.49
S1017,78.37,40.88
S1018,75.12,39.89
S1019,70.19,38.07
S1020,81.41,42.23
S1021,64.88,34.25
S1022,70.23,36.01
S1023,72.82,37.21
S1024,75.96,40.79
S1025,87.48,47.1
S1026,66.99,35.42
S1027,78,42
S1028,80.73,42.73
S1029,61.63,32.17
S1030,81.26,42.99
S1031,65.97,36.52
S1032,62.28,33.1
S1033,93.21,50.17
S1034,93.8,46.28
S1035,88.29,46.97
S1036,70.66,37.42
S1037,63.42,33.41
S1038,83.95,44.07
S1039,75.41,37.72
S1040,64.27,33.92
S1041,77.33,41.02
S1042,61.2,34.08
S1043,91.83,47.4
S1044,69.06,35.72
S1045,83.19,43.09
S1046,70.91,38.37
S1047,78.2,41.43
S1048,79.13,41.04
S1049,66.47,35.75
