Month,Tourists
31-01-2005,549
28-02-2005,544
31-03-2005,677
30-04-2005,813
31-05-2005,675
30-06-2005,701
31-07-2005,895
31-08-2005,813
30-09-2005,675
31-10-2005,750
30-11-2005,614
31-12-2005,571
31-01-2006,596
28-02-2006,335
31-03-2006,312
30-04-2006,394
31-05-2006,324
30-06-2006,444
31-07-2006,322
31-08-2006,285
30-09-2006,601
31-10-2006,471
30-11-2006,549
31-12-2006,454
31-01-2007,601
28-02-2007,725
31-03-2007,652
30-04-2007,852
31-05-2007,791
30-06-2007,847
31-07-2007,828
31-08-2007,1071
30-09-2007,869
31-10-2007,737
30-11-2007,889
31-12-2007,641
31-01-2008,738
29-02-2008,476
31-03-2008,498
30-04-2008,617
31-05-2008,647
30-06-2008,579
31-07-2008,552
31-08-2008,549
30-09-2008,460
31-10-2008,576
30-11-2008,651
31-12-2008,858
31-01-2009,846
28-02-2009,693
31-03-2009,955
30-04-2009,930
31-05-2009,937
30-06-2009,1089
31-07-2009,1141
31-08-2009,1128
30-09-2009,934
31-10-2009,959
30-11-2009,985
31-12-2009,1007
31-01-2010,815
28-02-2010,799
31-03-2010,666
30-04-2010,624
31-05-2010,803
30-06-2010,847
31-07-2010,707
31-08-2010,831
30-09-2010,797
31-10-2010,738
30-11-2010,889
31-12-2010,1062
31-01-2011,964
28-02-2011,1181
31-03-2011,816
30-04-2011,1205
31-05-2011,1166
30-06-2011,1150
31-07-2011,1197
31-08-2011,985
30-09-2011,1143
31-10-2011,1172
30-11-2011,1246
31-12-2011,1003
31-01-2012,927
29-02-2012,913
31-03-2012,1015
30-04-2012,924
31-05-2012,817
30-06-2012,912
31-07-2012,875
31-08-2012,980
30-09-2012,844
31-10-2012,924
30-11-2012,969
31-12-2012,918
31-01-2013,1153
28-02-2013,1206
31-03-2013,1233
30-04-2013,1253
31-05-2013,1169
30-06-2013,1289
31-07-2013,1304
31-08-2013,1252
30-09-2013,1297
31-10-2013,1323
30-11-2013,1433
31-12-2013,1217
31-01-2014,1179
28-02-2014,1102
31-03-2014,878
30-04-2014,1036
31-05-2014,1024
30-06-2014,1257
31-07-2014,997
31-08-2014,1066
30-09-2014,1065
31-10-2014,995
30-11-2014,1278
31-12-2014,1295
31-01-2015,1358
28-02-2015,1245
31-03-2015,1528
30-04-2015,1290
31-05-2015,1522
30-06-2015,1702
31-07-2015,1389
31-08-2015,1424
30-09-2015,1470
31-10-2015,1379
30-11-2015,1235
31-12-2015,1352
31-01-2016,1193
29-02-2016,1302
31-03-2016,1124
30-04-2016,1341
31-05-2016,1089
30-06-2016,1128
31-07-2016,1249
31-08-2016,1066
30-09-2016,1245
31-10-2016,1397
30-11-2016,1158
31-12-2016,1394
31-01-2017,1461
28-02-2017,1569
31-03-2017,1418
30-04-2017,1452
31-05-2017,1668
30-06-2017,1663
31-07-2017,1663
31-08-2017,1664
30-09-2017,1540
31-10-2017,1599
30-11-2017,1565
31-12-2017,1419
31-01-2018,1631
28-02-2018,1448
31-03-2018,1244
30-04-2018,1399
31-05-2018,1218
30-06-2018,1389
31-07-2018,1435
31-08-2018,1260
30-09-2018,1473
31-10-2018,1463
30-11-2018,1557
31-12-2018,1722
31-01-2019,1566
28-02-2019,1571
31-03-2019,1608
30-04-2019,1656
31-05-2019,1760
30-06-2019,1819
31-07-2019,1816
31-08-2019,1860
30-09-2019,1756
31-10-2019,1867
30-11-2019,1655
31-12-2019,1908
31-01-2020,1653
29-02-2020,1461
31-03-2020,1402
30-04-2020,1530
31-05-2020,1442
30-06-2020,1532
31-07-2020,1518
31-08-2020,1487
30-09-2020,1446
31-10-2020,1425
30-11-2020,1585
31-12-2020,1773
31-01-2021,1768
28-02-2021,1677
31-03-2021,1869
30-04-2021,1930
31-05-2021,1832
30-06-2021,1951
31-07-2021,1943
31-08-2021,1812
30-09-2021,1938
31-10-2021,1924
30-11-2021,1935
31-12-2021,1887
31-01-2022,1598
28-02-2022,1599
31-03-2022,1708
30-04-2022,1680
31-05-2022,1665
30-06-2022,1997
31-07-2022,1680
31-08-2022,1761
30-09-2022,1780
31-10-2022,1797
30-11-2022,1754
31-12-2022,1920
31-01-2023,1825
28-02-2023,1934
31-03-2023,1957
30-04-2023,2053
31-05-2023,2304
30-06-2023,1900
31-07-2023,2156
31-08-2023,1913
30-09-2023,2002
31-10-2023,2123
30-11-2023,1979
31-12-2023,1819
31-01-2024,1809
29-02-2024,1907
31-03-2024,1730
30-04-2024,1799
31-05-2024,1767
30-06-2024,1697
31-07-2024,1989
31-08-2024,1864
30-09-2024,1636
31-10-2024,1905
30-11-2024,1875
31-12-2024,2085
